0:0:0:0:0:0:0:1	[05/Jul/2017:09:07:35	+0800]	GET /Book!home?_=1499216836312 HTTP/1.1	200	10773
0:0:0:0:0:0:0:1	[05/Jul/2017:09:07:36	+0800]	POST /method/Book!showBooks HTTP/1.1	200	3419
0:0:0:0:0:0:0:1	[05/Jul/2017:09:07:51	+0800]	POST /method/Book!showBooks HTTP/1.1	200	46
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:10	+0800]	POST /method/Book!showBooks HTTP/1.1	200	46
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:10	+0800]	POST /method/Book!showBooks HTTP/1.1	200	46
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:18	+0800]	GET /Book!home?_=1499216836313 HTTP/1.1	200	10773
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:18	+0800]	POST /method/Book!showBooks HTTP/1.1	200	3419
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:23	+0800]	POST /method/Book!borrow HTTP/1.1	200	54
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:23	+0800]	POST /method/Book!showBooks HTTP/1.1	200	3436
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:29	+0800]	GET /User!home?_=1499216836314 HTTP/1.1	200	5574
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:30	+0800]	POST /method/User!showUsers HTTP/1.1	200	1087
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:38	+0800]	GET /main HTTP/1.1	200	12008
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:38	+0800]	POST /method/Announce!showAnnouncement HTTP/1.1	200	2348
0:0:0:0:0:0:0:1	[05/Jul/2017:09:10:38	+0800]	POST /method/Report!showAllReports HTTP/1.1	200	385
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:40	+0800]	GET /DBLab/index.jsp HTTP/1.1	200	7113
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:40	+0800]	GET /css/main_center_bg.png HTTP/1.1	404	1032
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:40	+0800]	GET /css/center_right_bg.png HTTP/1.1	404	1034
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:47	+0800]	POST /method/User!loginValidate HTTP/1.1	200	39
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:47	+0800]	POST /main HTTP/1.1	200	12008
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:47	+0800]	POST /method/Announce!showAnnouncement HTTP/1.1	200	2348
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:47	+0800]	POST /method/Report!showAllReports HTTP/1.1	200	385
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:51	+0800]	GET /Book!home?_=1499218667384 HTTP/1.1	200	10773
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:52	+0800]	POST /method/Book!showBooks HTTP/1.1	200	3436
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:57	+0800]	POST /method/Book!borrow HTTP/1.1	200	54
0:0:0:0:0:0:0:1	[05/Jul/2017:09:37:57	+0800]	POST /method/Book!showBooks HTTP/1.1	200	3459
0:0:0:0:0:0:0:1	[05/Jul/2017:09:38:01	+0800]	GET /main HTTP/1.1	200	12008
0:0:0:0:0:0:0:1	[05/Jul/2017:09:38:01	+0800]	POST /method/Announce!showAnnouncement HTTP/1.1	200	2496
0:0:0:0:0:0:0:1	[05/Jul/2017:09:38:01	+0800]	POST /method/Report!showAllReports HTTP/1.1	200	385
